Month,Day_of_1st_session,Time,Population,Male,Female,Mating,Dispersal,Notes
June,9,2352,H,40,,,,"produced spermatophore, but no female around "
June,9,11,H,,77,,N,
June,10,2155,H,9,,,O,
June,10,56,H,,FRF,1,,
June,10,145,H,?,35,1,,"copulation activity, singing by immigrant"
June,11,2250,H,9,,,O,
June,11,2250,H,,77,,O,
June,11,2253,H,14,86,1,,male 14 near
June,11,25,H,,83,,N,
June,11,25,H,7,,,N,
June,11,26,H,1,,,N,
June,11,28,H,12,,,N,
June,11,29,H,2,,,N,
June,11,29,H,,82,,N,
June,11,29,H,,81,,N,
June,11,33,H,31,,,N,
June,12,2147,H,2,83,1,,"female with spermatophore, male nearby"
June,12,2153,H,,82,1,,
June,12,2244,H,21,,,,predated by wolf spider
June,12,2248,H,,?,1,,unmarked female with spermatophore
June,13,2145,H,25,,,O,
June,13,2345,H,2,,,N,
June,13,2345,H,,88,,N,
June,14,2139,H,,80,,,predated by wolf spider
June,14,2347,H,,FRF,1,,
June,14,2344,H,27,,,N,
June,14,122,H,22,,,O,
June,15,2228,H,22,,,O,
June,15,2253,H,15,,,O,
June,15,2350,H,23,,,O,
June,15,10,H,4,,,N,
June,15,10,H,44,,,N,
June,15,40,H,6,,,O,
June,16,2247,H,22,83,1,,
June,16,2307,H,MRF,,,O,
June,16,2354,H,42,FRF,1,,
June,16,31,H,21,?,1,,
June,16,53,H,25,,,O,
June,9,7,I,,?,,,removed
June,9,7,I,,?,,,removed
June,9,10,I,?,,,,removed
June,10,2118,I,4,81,1,,
June,10,2120,I,22,FRF,1,,
June,10,2225,I,,?,,,unmarked female with old spermatophore
June,10,2241,I,,91,,N,
June,10,2241,I,,82,,N,
June,10,2241,I,,48,,N,
June,10,2241,I,,59,,O,
June,10,2243,I,,49,,N,
June,10,2244,I,,69,,N,
June,10,2246,I,15,,,N,
June,10,2248,I,,53,,N,
June,10,2248,I,8,,,N,
June,10,2248,H,79,,,O,
June,10,2250,I,,48,,N,
June,10,2251,I,1,,,N,
June,10,2252,I,,35,,N,
June,10,2252,I,,56,,N,
June,10,2253,I,,FRF,1,,spermatophore
June,10,2255,I,,54,,N,
June,10,132,I,,74,,O,
June,10,135,I,50,81,1,,
June,11,2132,I,,70,,N,
June,11,2132,I,,90,1,,
June,11,2132,I,,52,1,,
June,11,2144,I,3,48,1,,
June,11,2152,I,,54,,O,
June,11,2224,I,,63,,N,
June,11,9,I,5,72,1,,
June,11,12,I,1,50,1,,
June,11,12,I,MRF,FRF,1,,
June,11,51,I,10,71,1,,
June,11,434,I,7,53,1,,
June,11,442,I,15,FRF,1,,
June,12,20,I,2,70,1,,
June,13,2350,I,,86,,N,
June,13,2355,I,,84,,N,
June,14,2154,I,,70,,O,
June,14,2202,I,,84,,N,
June,14,2208,I,,65,,N,
June,14,2330,I,,77,,N,
June,14,2330,I,,59,,N,
June,14,2331,I,,82,,N,
June,14,2332,I,,81,,N,
June,14,2333,I,,66,,N,
June,14,2333,I,,80,,N,
June,14,2334,I,9,,,N,
June,14,2338,I,,84,,N,
June,14,2339,I,,60,,N,
June,14,2339,I,,68,,N,
June,14,100,I,8,FRF,1,,
June,14,130,I,10,65,1,,mating without spermatophore
June,15,2351,I,,62,,N,
June,15,2351,I,,77,,N,
June,15,2351,I,,59,,N,
June,15,2351,I,,66,,N,
June,15,2351,I,,81,,N,
June,15,2,I,,86,1,,
June,17,2144,D,,69,1,,
June,17,2150,D,?,,,,removed
June,17,2236,D,?,,,,removed
June,17,2338,D,,89,,O,
June,17,1235,D,?,,,,removed
June,17,1235,D,?,,,,removed
June,17,330,D,,73,1,,
June,18,2227,D,,71,1,,
June,18,11,D,?,84,,N,
June,18,330,D,4,44,1,,
June,17,2205,E,,?,,,removed
June,17,2249,E,?,80,1,,
June,17,2350,E,MRF,,,O,
June,17,355,E,,66,1,,
June,17,402,E,,89,1,,
June,18,2243,E,MRF,77,1,,
June,18,2244,E,MRF,FRF,1,,
June,17,2224,F,23,?,1,,
June,17,2302,F,,?,,,removed
June,18,2211,F,47,,,O,
June,18,35,F,MRF,?,1,,
June,17,2149,G,,80,1,,
June,17,2340,G,,66,,N,
June,17,330,G,,68,1,,
June,17,345,G,?,?,,,"removed, unknown gender"
June,18,2345,G,,62,,O,No leg tag
June,18,320,G,,?,1,,mated immigrant
June,17,2154,H,,86,1,,
June,17,2155,H,,?,1,,mated immigrant
June,17,2351,H,,83,,N,
June,17,2352,H,4,,,N,
June,17,2352,H,27,,,N,
June,17,2356,H,25,,,N,
June,18,2300,H,?,,,,removed
June,18,1,H,MRF,82,1,,
June,18,31,H,MRF,,,N,
